store,websites,attribute_set,prodtype,tier_prices,typeofstore,industry,department,category,subcategory,name,description,short_description,sku,styleID,brandName,colorName,swatch_image,gallery,color1,color2,size,dimesions_outside,dimesnions_inside,weight,price,has_options,required_options,,visibility,webin,associated,config_attributes,additional_attributes
admin,base,Default,virtual,32000=12=12.000000|32000=40=24.000000,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195501,6367,Richardson,Black,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACogZwpImU6561Lxudft6ysa/Headwear/Richardson/swatch/7180_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AAC6yUj8uBhl9Lt444M9H0kwa/Headwear/Richardson/71399_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACMH3VNVEl92X3Nm1bXIZSPa/Headwear/Richardson/71399_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAB-gjR70dwxTBbIYdWwdJNUa/Headwear/Richardson/71399_f_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADrsKapeSK7anoeh6rEouS3a/Headwear/Richardson/71399_fm.jpg?dl=0",#1b151a,,S/M,,,0.256944444,9.13,0,0,,Not Visible Individually,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195503,6367,Richardson,Black,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACogZwpImU6561Lxudft6ysa/Headwear/Richardson/swatch/7180_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AAC6yUj8uBhl9Lt444M9H0kwa/Headwear/Richardson/71399_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACMH3VNVEl92X3Nm1bXIZSPa/Headwear/Richardson/71399_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAB-gjR70dwxTBbIYdWwdJNUa/Headwear/Richardson/71399_f_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADrsKapeSK7anoeh6rEouS3a/Headwear/Richardson/71399_fm.jpg?dl=0",#1b151a,,L/XL,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195361,6367,Richardson,Charcoal/ Black,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAB2im_-iHGNrCSrcDgw5d9Aa/Headwear/Richardson/swatch/10666_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AADye6aEH463WOpGdpErsLeta/Headwear/Richardson/71374_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACPSgmOLM7Ro38tQT2FHnqTa/Headwear/Richardson/71374_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAC00FsQiCybvelDvdpB8DOFa/Headwear/Richardson/71374_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACtZxKGFvE5TJwSKuJeAqmIa/Headwear/Richardson/71374_f_fm.jpg?dl=0",#4d464d,#1b151a,S/M,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195363,6367,Richardson,Charcoal/ Black,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAB2im_-iHGNrCSrcDgw5d9Aa/Headwear/Richardson/swatch/10666_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AADye6aEH463WOpGdpErsLeta/Headwear/Richardson/71374_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACPSgmOLM7Ro38tQT2FHnqTa/Headwear/Richardson/71374_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAC00FsQiCybvelDvdpB8DOFa/Headwear/Richardson/71374_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AACtZxKGFvE5TJwSKuJeAqmIa/Headwear/Richardson/71374_f_fm.jpg?dl=0",#4d464d,#1b151a,L/XL,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195363,,,,,,,,,,,,,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195511,6367,Richardson,Heather Grey/ Black,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADGR9QMm9y_THyE3L9JeMJba/Headwear/Richardson/swatch/13198_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AAAcPcce8XVUB4xByaAkOB5ea/Headwear/Richardson/71381_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAD4ipbbDIbL-_tl-siJ2HWCa/Headwear/Richardson/71381_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAB2mPpFE_P-7KQUt4eoDKtRa/Headwear/Richardson/71381_f_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AABKRjdkwKnsJO00jZO72_RKa/Headwear/Richardson/71381_fm.jpg?dl=0",#64625b,,S/M,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195513,6367,Richardson,Heather Grey/ Black,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADGR9QMm9y_THyE3L9JeMJba/Headwear/Richardson/swatch/13198_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AAAcPcce8XVUB4xByaAkOB5ea/Headwear/Richardson/71381_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAD4ipbbDIbL-_tl-siJ2HWCa/Headwear/Richardson/71381_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAB2mPpFE_P-7KQUt4eoDKtRa/Headwear/Richardson/71381_f_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AABKRjdkwKnsJO00jZO72_RKa/Headwear/Richardson/71381_fm.jpg?dl=0",#64625b,,L/XL,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195571,6367,Richardson,Heather Grey/ Navy,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAAy0R9rDIubVVuaYRXuTRG7a/Headwear/Richardson/swatch/13157_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AABoGTRX-8KbVQyFITme1FNta/Headwear/Richardson/71383_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADBGCud1z_UAWQKxJ5Sgi4fa/Headwear/Richardson/71383_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADpwIKF6L5rDvmG29CJCl2qa/Headwear/Richardson/71383_f_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAD3jg2Iku1Fk6WHcy5bguhba/Headwear/Richardson/71383_fm.jpg?dl=0",#7b8a8e,,S/M,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195573,6367,Richardson,Heather Grey/ Navy,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAAy0R9rDIubVVuaYRXuTRG7a/Headwear/Richardson/swatch/13157_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AABoGTRX-8KbVQyFITme1FNta/Headwear/Richardson/71383_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADBGCud1z_UAWQKxJ5Sgi4fa/Headwear/Richardson/71383_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADpwIKF6L5rDvmG29CJCl2qa/Headwear/Richardson/71383_f_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAD3jg2Iku1Fk6WHcy5bguhba/Headwear/Richardson/71383_fm.jpg?dl=0",#7b8a8e,,L/XL,,,0.256944444,9.13,,,,,,,,
admin,base,Default,virtual,,,,,Headwear,,Fitted Trucker with R-Flex,"<ul><li>56/42/2 polyester/cotton/spandex</li><li>Structured, mid-profile, six-panel</li><li>Pre-curved visor</li><li>Comfort stretch</li></ul><p>S/M (7 - 7 1/4&quot;) L/XL (&nbsp;7 - 7 5/8&quot;)</p>",,B90195581,6367,Richardson,Heather Grey/ Royal,https://www.dropbox.com/sh/970y5tr0ewl14b8/AABAjePZckqIjmhEN2Z0Gu7Sa/Headwear/Richardson/swatch/13160_fm.jpg?dl=0,"https://www.dropbox.com/sh/970y5tr0ewl14b8/AADqNOMTlqqxmRFZVGULRsHRa/Headwear/Richardson/71384_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AADHwJYPLoE1BCHcyQNNmHpda/Headwear/Richardson/71384_b_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AABPv_hnfwQoiX28iPKm-mgka/Headwear/Richardson/71384_d_fm.jpg?dl=0,https://www.dropbox.com/sh/970y5tr0ewl14b8/AAAWsRKl2AaDQq6R0VaEHXl3a/Headwear/Richardson/71384_f_fm.jpg?dl=0",#7b8a8e,,S/M,,,0.256944444,9.13,,,,,,,,
