sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Red T Shirt",,Default,simple,"Default Category/Clothing & Bags,Default Category/Brands",base,"Red T Shirt",,"<p>This is good product</p>",,1,"Taxable Goods","Catalog, Search",149.000000,129.000000,1/7/21,,red-t-shirt,"Red T Shirt","Red T Shirt","Red T Shirt ",/a/t/atc0820_form_front_trueredblack_0520151_1.png,,/a/t/atc0820_form_front_trueredblack_0520151_1.png,,/a/t/atc0820_form_front_trueredblack_0520151_1.png,,/a/t/atc0820_form_front_trueredblack_0520151_1.png,,"1/7/21, 4:54 AM","1/22/21, 3:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"cost=149.000000,stripe_sub_enabled=No,stripe_sub_interval=Months",1000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc0820_form_front_trueredblack_0520151_1.png,,,,,,,,,,,,,,
"Black T Shirt",,Default,simple,"Default Category/Clothing & Bags,Default Category/Brands",base,"Black T Shirt",,,,1,"Taxable Goods","Catalog, Search",149.000000,,,,black-t-shirt,"Black T Shirt","Black T Shirt","Black T Shirt ",/a/t/atc9001_front_charcoalheatherblack.png,,/a/t/atc9001_front_charcoalheatherblack.png,,/a/t/atc9001_front_charcoalheatherblack.png,,/a/t/atc9001_front_charcoalheatherblack.png,,"1/7/21, 9:14 AM","1/22/21, 3:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,10000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc9001_front_charcoalheatherblack.png,,,,,,,,,,,,,,
"Custom Cap",,Default,simple,,base,"Custom Cap",,,,1,"Taxable Goods","Catalog, Search",111.000000,,,,custom-cap,"Custom Cap","Custom Cap","Custom Cap ",/p/r/product1_1.jpg,,/p/r/product1_1.jpg,,/p/r/product1_1.jpg,,/p/r/product1_1.jpg,,"1/15/21, 12:36 AM","1/22/21, 3:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"stripe_sub_enabled=No,stripe_sub_interval=Months",111.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/r/product1_1.jpg,,,,,,,,,,,,,,
"Dummy Product",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",129.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc5050_form_angle_sapphire_1120171_3_1.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_1.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_1.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_1.png,,"2/5/21, 2:09 PM","2/5/21, 2:09 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Navy,product_approval=Yes,size=Small",99.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc5050_form_angle_sapphire_1120171_3_1.png,,,,,,,,,,,,,,
"Dummy Product-Navy-Medium",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",129.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc5050_form_angle_sapphire_1120171_3_2.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_2.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_2.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_2.png,,"2/5/21, 2:09 PM","2/5/21, 2:09 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Navy,product_approval=Yes,size=Medium",99.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc5050_form_angle_sapphire_1120171_3_2.png,,,,,,,,,,,,,,
"Dummy Product-Navy-Large",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",129.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc5050_form_angle_sapphire_1120171_3_3.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_3.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_3.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_3.png,,"2/5/21, 2:09 PM","2/5/21, 2:09 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Navy,product_approval=Yes,size=Large",99.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc5050_form_angle_sapphire_1120171_3_3.png,,,,,,,,,,,,,,
"Dummy Product-Navy-Xtra Large",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",129.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc5050_form_angle_sapphire_1120171_3_4.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_4.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_4.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_4.png,,"2/5/21, 2:09 PM","2/5/21, 2:09 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Navy,product_approval=Yes,size=Xtra Large",99.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc5050_form_angle_sapphire_1120171_3_4.png,,,,,,,,,,,,,,
"Dummy Product-Navy-2X Large",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",129.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc5050_form_angle_sapphire_1120171_3_5.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_5.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_5.png,,/a/t/atc5050_form_angle_sapphire_1120171_3_5.png,,"2/5/21, 2:10 PM","2/5/21, 2:10 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Navy,product_approval=Yes,size=2X Large",99.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc5050_form_angle_sapphire_1120171_3_5.png,,,,,,,,,,,,,,
"Dummy Product-Black-Small",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",119.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc9001_front_charcoalheatherblack_2_1.png,,/a/t/atc9001_front_charcoalheatherblack_2_1.png,,/a/t/atc9001_front_charcoalheatherblack_2_1.png,,/a/t/atc9001_front_charcoalheatherblack_2_1.png,,"2/5/21, 2:10 PM","2/5/21, 2:10 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Black,product_approval=Yes,size=Small",129.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc9001_front_charcoalheatherblack_2_1.png,,,,,,,,,,,,,,
"Dummy Product-Black-Medium",,Default,simple,"Default Category/Trucker",base,"Dummy Product",,,2.330000,1,"Taxable Goods","Not Visible Individually",119.000000,,,,dummy-product,"Dummy Product","Dummy Product","Dummy Product ",/a/t/atc9001_front_charcoalheatherblack_2_2.png,,/a/t/atc9001_front_charcoalheatherblack_2_2.png,,/a/t/atc9001_front_charcoalheatherblack_2_2.png,,/a/t/atc9001_front_charcoalheatherblack_2_2.png,,"2/5/21, 2:10 PM","2/5/21, 2:10 PM",,,"Block after Info Column",,,,No,,,,,,,,,"color=Black,product_approval=Yes,size=Medium",129.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/t/atc9001_front_charcoalheatherblack_2_2.png,,,,,,,,,,,,,,
